edition,family,group,name,ko,state,source_high_over_low_width,source_high_over_low_height,target_high_over_low_width,target_high_over_low_height,source_scale_deviation,target_scale_deviation,source_scale_outlier_5pct,target_scale_outlier_5pct
base,base_detail,24,castle_info,성정보,4,2.0,2.0,2.054795,2.051948,0.0,0.027397,False,False
base,base_detail,24,castle_info,성정보,5,2.0,2.0,2.027027,2.077922,0.0,0.038961,False,False
base,base_detail,24,castle_info,성정보,6,2.0,2.0,2.027027,2.025641,0.0,0.013513,False,False
base,base_detail,25,move,이동,1,2.0,2.0,2.027778,2.052632,0.0,0.026316,False,False
base,base_detail,25,move,이동,2,2.0,2.0,2.0,2.012821,0.0,0.006411,False,False
base,base_detail,25,move,이동,3,2.0,2.0,2.013699,2.012821,0.0,0.006849,False,False
base,base_detail,25,move,이동,4,2.0,2.0,2.027778,2.025974,0.0,0.013889,False,False
base,base_detail,25,move,이동,5,2.0,2.0,2.0,2.038961,0.0,0.019481,False,False
base,base_detail,25,move,이동,6,2.0,2.0,2.027397,2.025974,0.0,0.013699,False,False
base,base_detail,26,sortie,출진,1,2.0,2.0,1.986111,2.013514,0.0,0.006945,False,False
base,base_detail,26,sortie,출진,2,2.0,2.0,2.0,2.040541,0.0,0.020271,False,False
base,base_detail,26,sortie,출진,3,2.0,2.0,2.041667,2.013333,0.0,0.020833,False,False
base,base_detail,26,sortie,출진,4,2.0,2.0,2.041667,2.040541,0.0,0.020833,False,False
base,base_detail,26,sortie,출진,5,2.0,2.0,1.986301,2.054054,0.0,0.027027,False,False
base,base_detail,26,sortie,출진,6,2.0,2.0,2.056338,2.027027,0.0,0.028169,False,False
base,base_detail,27,officer_info,무장정보,1,2.0,2.0,2.047059,2.051948,0.0,0.025974,False,False
base,base_detail,27,officer_info,무장정보,2,2.0,2.0,2.070588,2.038462,0.0,0.035294,False,False
base,base_detail,27,officer_info,무장정보,3,2.0,2.0,2.070588,2.038462,0.0,0.035294,False,False
base,base_detail,27,officer_info,무장정보,4,2.0,2.0,2.084337,2.038961,0.0,0.042169,False,False
base,base_detail,27,officer_info,무장정보,5,2.0,2.0,2.070588,2.038462,0.0,0.035294,False,False
base,base_detail,27,officer_info,무장정보,6,2.0,2.0,2.059524,2.038961,0.0,0.029762,False,False
base,base_detail,28,summon,호출,1,2.0,2.0,1.982759,2.016667,0.0,0.008621,False,False
base,base_detail,28,summon,호출,2,2.0,2.0,1.948276,1.967742,0.0,0.025862,False,False
base,base_detail,28,summon,호출,3,2.012195,2.0,1.932203,2.0,0.006098,0.033899,False,False
base,base_detail,28,summon,호출,4,2.0,2.0,2.0,2.0,0.0,0.0,False,False
base,base_detail,28,summon,호출,5,2.0,2.0,2.0,2.015625,0.0,0.007812,False,False
base,base_detail,28,summon,호출,6,2.0,2.0,2.016393,2.0,0.0,0.008196,False,False
base,base_detail,29,castle_town_facility,성하시설,1,2.0,2.0,2.069444,2.051948,0.0,0.034722,False,False
base,base_detail,29,castle_town_facility,성하시설,2,2.0,2.0,2.040541,2.064935,0.0,0.032468,False,False
base,base_detail,29,castle_town_facility,성하시설,3,2.0,2.0,2.040541,2.025641,0.0,0.020271,False,False
base,base_detail,29,castle_town_facility,성하시설,4,2.0,2.0,2.027397,2.038961,0.0,0.019481,False,False
base,base_detail,29,castle_town_facility,성하시설,5,2.0,2.0,2.040541,2.038462,0.0,0.020271,False,False
base,base_detail,29,castle_town_facility,성하시설,6,2.0,2.0,2.027397,2.038961,0.0,0.019481,False,False
base,base_detail,30,main_base,본거지,1,2.0,2.0,2.028169,2.012987,0.0,0.014085,False,False
base,base_detail,30,main_base,본거지,2,2.0,2.0,2.042857,2.038961,0.0,0.021429,False,False
base,base_detail,30,main_base,본거지,3,2.0,2.0,2.042857,2.038961,0.0,0.021429,False,False
base,base_detail,30,main_base,본거지,4,2.0,2.0,1.985915,2.0,0.0,0.007042,False,False
base,base_detail,30,main_base,본거지,5,2.0,2.0,2.014085,2.038961,0.0,0.019481,False,False
base,base_detail,30,main_base,본거지,6,2.0,2.0,2.0,2.0,0.0,0.0,False,False
base,base_detail,31,bulk_fief,일괄지행,1,2.021277,2.0,2.077922,2.052632,0.010638,0.038961,False,False
base,base_detail,31,bulk_fief,일괄지행,2,2.021277,2.0,2.075949,2.038462,0.010638,0.037975,False,False
base,base_detail,31,bulk_fief,일괄지행,3,2.021277,2.0,2.050633,2.025641,0.010638,0.025316,False,False
base,base_detail,31,bulk_fief,일괄지행,4,2.021277,2.0,2.077922,2.065789,0.010638,0.038961,False,False
base,base_detail,31,bulk_fief,일괄지행,5,2.021277,2.0,2.075949,2.064935,0.010638,0.037975,False,False
base,base_detail,31,bulk_fief,일괄지행,6,2.021277,2.0,2.077922,2.065789,0.010638,0.038961,False,False
base,base_detail,32,faction_info,세력정보,1,2.021739,2.0,2.012195,2.038961,0.01087,0.019481,False,False
base,base_detail,32,faction_info,세력정보,2,2.021739,2.0,2.060976,2.064935,0.01087,0.032468,False,False
base,base_detail,32,faction_info,세력정보,3,2.021739,2.0,2.02439,2.051948,0.01087,0.025974,False,False
base,base_detail,32,faction_info,세력정보,4,2.021739,2.0,2.05,2.012821,0.01087,0.025,False,False
base,base_detail,32,faction_info,세력정보,5,2.021739,2.0,2.04878,2.038462,0.01087,0.02439,False,False
base,base_detail,32,faction_info,세력정보,6,2.021739,2.0,2.0375,2.0,0.01087,0.01875,False,False
base,base_detail,33,information,정보,1,2.0,2.0,2.013514,2.038961,0.0,0.019481,False,False
base,base_detail,33,information,정보,2,2.0,2.0,2.041096,2.064935,0.0,0.032468,False,False
base,base_detail,33,information,정보,3,2.0,2.0,2.0,2.051948,0.0,0.025974,False,False
base,base_detail,33,information,정보,4,2.0,2.0,2.013699,2.025974,0.0,0.012987,False,False
base,base_detail,33,information,정보,5,2.0,2.0,2.055556,2.051948,0.0,0.027778,False,False
base,base_detail,33,information,정보,6,2.0,2.0,2.027778,2.039474,0.0,0.019737,False,False
base,base_detail,34,appointment,임명,1,2.0,2.0,2.013514,2.038961,0.0,0.019481,False,False
base,base_detail,34,appointment,임명,2,2.0,2.0,2.0,2.051948,0.0,0.025974,False,False
base,base_detail,34,appointment,임명,3,2.0,2.0,2.013514,2.038961,0.0,0.019481,False,False
base,base_detail,34,appointment,임명,4,2.0,2.0,2.041096,2.038961,0.0,0.020548,False,False
base,base_detail,34,appointment,임명,5,2.0,2.0,2.041096,2.064935,0.0,0.032468,False,False
base,base_detail,34,appointment,임명,6,2.0,2.0,2.027397,2.025974,0.0,0.013699,False,False
base,base_detail,35,military,군사,1,2.0,2.0,2.054795,2.08,0.0,0.04,False,False
base,base_detail,35,military,군사,2,2.0,2.0,2.041096,2.038961,0.0,0.020548,False,False
base,base_detail,35,military,군사,3,2.0,2.0,2.041096,2.038961,0.0,0.020548,False,False
base,base_detail,35,military,군사,4,2.0,2.0,2.041096,2.08,0.0,0.04,False,False
base,base_detail,35,military,군사,5,2.0,2.0,2.013514,2.038961,0.0,0.019481,False,False
base,base_detail,35,military,군사,6,2.0,2.0,2.0,2.066667,0.0,0.033333,False,False
base,base_detail,36,domestic,내정,1,2.0,2.0,2.027027,2.065789,0.0,0.032895,False,False
base,base_detail,36,domestic,내정,2,2.0,2.0,2.027397,2.038462,0.0,0.019231,False,False
base,base_detail,36,domestic,내정,3,2.0,2.0,2.0,2.038462,0.0,0.019231,False,False
base,base_detail,36,domestic,내정,4,2.0,2.0,2.013699,2.051948,0.0,0.025974,False,False
base,base_detail,36,domestic,내정,5,2.0,2.0,2.013699,2.038462,0.0,0.019231,False,False
base,base_detail,36,domestic,내정,6,2.0,2.0,2.0,2.012821,0.0,0.006411,False,False
base,base_detail,37,domain_policy,영지계책,1,1.989247,2.0,2.053333,2.025974,0.005377,0.026666,False,False
base,base_detail,37,domain_policy,영지계책,2,1.989247,2.0,2.038961,2.051948,0.005377,0.025974,False,False
base,base_detail,37,domain_policy,영지계책,3,1.989247,2.0,2.038961,2.025641,0.005377,0.019481,False,False
base,base_detail,37,domain_policy,영지계책,4,1.989247,2.0,2.054054,2.0,0.005377,0.027027,False,False
base,base_detail,37,domain_policy,영지계책,5,1.989247,2.0,2.038961,2.038462,0.005377,0.019481,False,False
base,base_detail,37,domain_policy,영지계책,6,1.989247,2.0,2.040541,2.04,0.005377,0.020271,False,False
base,base_detail,38,scheme,조략,1,2.0,2.0,2.028169,2.052632,0.0,0.026316,False,False
base,base_detail,38,scheme,조략,2,2.0,2.0,2.028169,2.051948,0.0,0.025974,False,False
base,base_detail,38,scheme,조략,3,2.0,2.0,2.057143,2.051948,0.0,0.028571,False,False
base,base_detail,38,scheme,조략,4,2.0,2.0,2.014286,2.052632,0.0,0.026316,False,False
base,base_detail,38,scheme,조략,5,2.0,2.0,2.057143,2.051948,0.0,0.028571,False,False
base,base_detail,38,scheme,조략,6,2.0,2.0,2.042857,2.052632,0.0,0.026316,False,False
base,base_detail,39,fief,지행,1,2.0,2.0,2.054795,2.08,0.0,0.04,False,False
base,base_detail,39,fief,지행,2,2.0,2.0,2.027397,2.038961,0.0,0.019481,False,False
base,base_detail,39,fief,지행,3,2.0,2.0,2.027027,2.051948,0.0,0.025974,False,False
base,base_detail,39,fief,지행,4,2.0,2.0,2.027397,2.066667,0.0,0.033333,False,False
base,base_detail,39,fief,지행,5,2.0,2.0,2.013514,2.038961,0.0,0.019481,False,False
base,base_detail,39,fief,지행,6,2.0,2.0,2.0,2.039474,0.0,0.019737,False,False
base,base_detail,40,transfer_fief,전봉,1,2.0,2.0,2.111111,2.051948,0.0,0.055556,False,True
base,base_detail,40,transfer_fief,전봉,2,2.0,2.0,2.0,2.038462,0.0,0.019231,False,False
base,base_detail,40,transfer_fief,전봉,3,2.0,2.0,2.041667,2.038462,0.0,0.020833,False,False
base,base_detail,40,transfer_fief,전봉,4,2.0,2.0,2.082192,2.051948,0.0,0.041096,False,False
base,base_detail,40,transfer_fief,전봉,5,2.0,2.0,2.027778,2.038462,0.0,0.019231,False,False
base,base_detail,40,transfer_fief,전봉,6,2.0,2.0,2.082192,2.064935,0.0,0.041096,False,False
base,base_detail,41,magistrate,대관,1,2.0,2.0,2.013514,2.038961,0.0,0.019481,False,False
